ID|Monster Name|Type 1|Type 2|Type 3|Pri Element|Sec Element|Rareness|Cost|Mpoints|Artist|
1|Tyrra |Dragon |||Fire ||2 Stars |2|1|Shinnosuke Hino |
2|Tyran |Dragon |||Fire ||3 Stars |4|1|Shinnosuke Hino |
3|Tyrannos |Dragon |||Fire ||4 Stars |6|1|Shinnosuke Hino |
4|Firedragon Tyrannos |Dragon |||Fire ||5 Stars |10|1|Shinnosuke Hino |
5|Plessie |Dragon |||Water ||2 Stars |2|1|Yosuke Adachi |
6|Plesiel |Dragon |||Water ||3 Stars |4|1|Yosuke Adachi |
7|Plesios |Dragon |||Water ||4 Stars |6|1|Yosuke Adachi |
8|Icedragon Plesios |Dragon |||Water ||5 Stars |10|1|Yosuke Adachi |
9|Brachy |Dragon |||Wood ||2 Stars |2|1|Itou Youichi |
10|Brachio |Dragon |||Wood ||3 Stars |4|1|Itou Youichi |
11|Brachys |Dragon |||Wood ||4 Stars |6|1|Itou Youichi |
12|Flowerdragon Brachys |Dragon |||Wood ||5 Stars |10|1|Itou Youichi |
13|Pterra |Dragon |||Light ||2 Stars |2|1|Itou Youichi |
14|Pteras |Dragon |||Light ||3 Stars |4|1|Itou Youichi |
15|Pterados |Dragon |||Light ||4 Stars |6|1|Itou Youichi |
16|Sundragon Pterados |Dragon |||Light ||5 Stars |10|1|Itou Youichi |
17|Spinon |Dragon |||Dark ||2 Stars |2|1|Murase Rintaro |
18|Spinas |Dragon |||Dark ||3 Stars |4|1|Murase Rintaro |
19|D'spinas |Dragon |||Dark ||4 Stars |6|1|Murase Rintaro |
20|Moondragon D'spinas |Dragon |||Dark ||5 Stars |10|1|Murase Rintaro |
21|Lil' Red Dragon |Dragon |||Fire ||2 Stars |2|1|Yosuke Adachi |
22|Red Dragon |Dragon |||Fire ||3 Stars |5|1|Yosuke Adachi |
23|Volcano Dragon |Dragon |||Fire ||4 Stars |11|1|Yosuke Adachi |
24|Lil' Blue Dragon |Dragon |||Water ||2 Stars |2|1|Yosuke Adachi |
25|Blue Dragon |Dragon |||Water ||3 Stars |5|1|Yosuke Adachi |
26|Aurora Dragon |Dragon |||Water ||4 Stars |11|1|Yosuke Adachi |
27|Lil' Green Dragon |Dragon |||Wood ||2 Stars |2|1|Shinnosuke Hino |
28|Green Dragon |Dragon |||Wood ||3 Stars |5|1|Shinnosuke Hino |
29|Earth Dragon |Dragon |||Wood ||4 Stars |11|1|Shinnosuke Hino |
30|Lil' White Dragon |Dragon |||Light ||2 Stars |2|1|Sekiyama Konomu |
31|White Dragon |Dragon |||Light ||3 Stars |5|1|Sekiyama Konomu |
32|Holy Dragon |Dragon |||Light ||4 Stars |11|1|Sekiyama Konomu |
33|Lil' Black Dragon |Dragon |||Dark ||2 Stars |2|1|Itou Youichi |
34|Black Dragon |Dragon |||Dark ||3 Stars |5|1|Itou Youichi |
35|Devil Dragon |Dragon |||Dark ||4 Stars |11|1|Itou Youichi |
36|Flamie |Balanced |||Fire ||1 Star |1|1|Itou Youichi |
37|Big Flamie |Balanced |||Fire ||2 Stars |3|1|Itou Youichi |
38|Bubblie |Balanced |||Water ||1 Star |1|1|Itou Youichi |
39|Big Bubblie |Balanced |||Water ||2 Stars |3|1|Itou Youichi |
40|Woodsie |Balanced |||Wood ||1 Star |1|1|Itou Youichi |
41|Big Woodsie |Balanced |||Wood ||2 Stars |3|1|Itou Youichi |
42|Shynee |Balanced |||Light ||1 Star |1|1|Itou Youichi |
43|Big Shynee |Balanced |||Light ||2 Stars |3|1|Itou Youichi |
44|Baddie |Balanced |||Dark ||1 Star |1|1|Itou Youichi |
45|Big Baddie |Balanced |||Dark ||2 Stars |3|1|Itou Youichi |
46|Red Carbuncle |Healer |||Fire ||1 Star |2|1|Suzuki Kaori |
47|Ruby Carbuncle |Healer |||Fire ||2 Stars |5|1|Suzuki Kaori |
48|Blue Carbuncle |Healer |||Water ||1 Star |2|1|Suzuki Kaori |
49|Sapphire Carbuncle |Healer |||Water ||2 Stars |5|1|Suzuki Kaori |
50|Green Carbuncle |Healer |||Wood ||1 Star |2|1|Suzuki Kaori |
51|Emerald Carbuncle |Healer |||Wood ||2 Stars |5|1|Suzuki Kaori |
52|Yellow Carbuncle |Healer |||Light ||1 Star |2|1|Suzuki Kaori |
53|Topaz Carbuncle |Healer |||Light ||2 Stars |5|1|Suzuki Kaori |
54|Purple Carbuncle |Healer |||Dark ||1 Star |2|1|Suzuki Kaori |
55|Amethyst Carbuncle |Healer |||Dark ||2 Stars |5|1|Suzuki Kaori |
56|Red Goblin |Attacker |||Fire ||1 Star |2|1|Shinnosuke Hino |
57|Samurai Goblin |Attacker |||Fire ||2 Stars |5|1|Shinnosuke Hino |
58|Blue Goblin |Attacker |||Water ||1 Star |2|1|Shinnosuke Hino |
59|Marine Goblin |Attacker |||Water ||2 Stars |5|1|Shinnosuke Hino |
60|Goblin |Attacker |||Wood ||1 Star |2|1|Shinnosuke Hino |
61|Hobgoblin |Attacker |||Wood ||2 Stars |5|1|Shinnosuke Hino |
62|Red Ogre |Physical |||Fire ||2 Stars |4|1|Shinnosuke Hino |
63|Samurai Ogre |Physical |||Fire ||3 Stars |7|1|Shinnosuke Hino |
64|Blue Ogre |Physical |||Water ||2 Stars |4|1|Shinnosuke Hino |
65|Ice Ogre |Physical |||Water ||3 Stars |7|1|Shinnosuke Hino |
66|Ogre |Physical |||Wood ||2 Stars |4|1|Shinnosuke Hino |
67|Armor Ogre |Physical |||Wood ||3 Stars |7|1|Shinnosuke Hino |
68|Flame Fighter |Balanced |||Fire ||2 Stars |3|1|Itou Youichi |
69|Flame Knight |Balanced |||Fire ||3 Stars |6|1|Itou Youichi |
70|Aqua Fighter |Balanced |||Water ||2 Stars |3|1|Itou Youichi |
71|Aqua Knight |Balanced |||Water ||3 Stars |6|1|Itou Youichi |
72|Earth Fighter |Balanced |||Wood ||2 Stars |3|1|Itou Youichi |
73|Earth Knight |Balanced |||Wood ||3 Stars |6|1|Itou Youichi |
74|White Fighter |Balanced |||Light ||2 Stars |3|1|Itou Youichi |
75|White Knight |Balanced |||Light ||3 Stars |6|1|Itou Youichi |
76|Black Fighter |Balanced |||Dark ||2 Stars |3|1|Itou Youichi |
77|Black Knight |Balanced |||Dark ||3 Stars |6|1|Itou Youichi |
78|Flame Golem |Physical |Machine ||Fire ||3 Stars |6|1|Sekiyama Konomu |
79|Flame Guardian |Physical |Machine ||Fire ||4 Stars |9|1|Sekiyama Konomu |
80|Ice Golem |Physical |Machine ||Water ||3 Stars |6|1|Sekiyama Konomu |
81|Ice Guardian |Physical |Machine ||Water ||4 Stars |9|1|Sekiyama Konomu |
82|Earth Golem |Physical |Machine ||Wood ||3 Stars |6|1|Sekiyama Konomu |
83|Earth Guardian |Physical |Machine ||Wood ||4 Stars |9|1|Sekiyama Konomu |
84|Machine Golem |Physical |Machine ||Light ||3 Stars |6|1|Yosuke Adachi |
85|Machine Golem Mk.II |Physical |Machine ||Light ||4 Stars |9|1|Yosuke Adachi |
86|Dark Golem |Physical |Machine ||Dark ||3 Stars |6|1|Yosuke Adachi |
87|Dark Golem Mk.II |Physical |Machine ||Dark ||4 Stars |9|1|Yosuke Adachi |
88|Naga |Healer |||Fire ||3 Stars |5|1|Shinnosuke Hino |
89|Echidna |Healer |||Fire ||4 Stars |8|1|Shinnosuke Hino |
90|Mermaid |Healer |||Water ||3 Stars |5|1|Yosuke Adachi |
91|Siren |Healer |||Water ||4 Stars |8|1|Yosuke Adachi |
92|Dryad |Healer |||Wood ||3 Stars |5|1|Suzuki Kaori |
93|Mandrake |Healer |||Wood ||4 Stars |8|1|Suzuki Kaori |LHD, THD 
94|Cupid |Healer |||Light ||3 Stars |5|1|Sekiyama Konomu |
95|Angel |Healer |||Light ||4 Stars |8|1|Sekiyama Konomu |
96|Succubus |Healer |||Dark ||3 Stars |5|1|Yosuke Adachi |
97|Lilith |Healer |||Dark ||4 Stars |8|1|Yosuke Adachi |
98|Mystic Flame Knight |Balanced |||Fire ||3 Stars |6|1|Yosuke Adachi |
99|Phoenix Knight |Balanced |||Fire ||4 Stars |9|1|Itou Youichi |
100|Mystic Ice Knight |Balanced |||Water ||3 Stars |6|1|Yosuke Adachi |
101|Fenrir Knight |Balanced |||Water ||4 Stars |9|1|Itou Youichi |
102|Mystic Stone Knight |Balanced |||Wood ||3 Stars |6|1|Yosuke Adachi |
103|Dragon Knight |Balanced |||Wood ||4 Stars |9|1|Yosuke Adachi |
104|Mystic Light Knight |Balanced |||Light ||3 Stars |6|1|Yosuke Adachi |
105|Verche |Balanced |||Light ||4 Stars |9|1|Sekiyama Konomu |
106|Titan |Physical |||Fire ||3 Stars |7|1|Shinnosuke Hino |
107|Gigas |Physical |||Fire ||4 Stars |10|1|Shinnosuke Hino |
108|Mystic Dark Knight |Balanced |||Dark ||3 Stars |6|1|Yosuke Adachi |
109|Dark Dragon Knight |Balanced |||Dark ||4 Stars |9|1|Yosuke Adachi |
110|Vampire |Balanced |||Dark ||3 Stars |6|1|Shinnosuke Hino |
111|Vampire Lord |Balanced |||Dark ||4 Stars |10|1|Shinnosuke Hino |
112|Salamander |Dragon |||Fire ||4 Stars |7|3000|Itou Youichi |
113|Ifrit |Dragon |||Fire ||5 Stars |13|3000|Itou Youichi |
114|Sea Serpent |Dragon |||Water ||4 Stars |7|3000|Sekiyama Konomu |
115|Leviathan |Dragon |||Water ||5 Stars |13|3000|Sekiyama Konomu |
116|Dragonette |Dragon |||Wood ||4 Stars |7|3000|Shinnosuke Hino |
117|Fafnir |Dragon |||Wood ||5 Stars |13|3000|Shinnosuke Hino |
118|Ivory Dragon |Dragon |||Light ||4 Stars |7|3000|Itou Youichi |
119|Divinegon |Dragon |God ||Light ||5 Stars |13|3000|Itou Youichi |
120|Basilisk |Dragon |||Dark ||4 Stars |7|3000|Itou Youichi |
121|Tiamat |Dragon |||Dark ||5 Stars |13|3000|Itou Youichi |
122|Minerva |God |||Fire ||5 Stars |15|5000|Shinnosuke Hino |
123|War Deity Minerva |God |||Fire |Fire |6 Stars |20|5000|Shinnosuke Hino |
124|Neptune |God |||Water ||5 Stars |15|5000|Murase Rintaro |
125|Sea Deity Neptune |God |||Water |Water |6 Stars |20|5000|Murase Rintaro |
126|Ceres |God |||Wood ||5 Stars |15|5000|Sekiyama Konomu |
127|Fertility Deity Ceres |God |||Wood |Wood |6 Stars |20|5000|Sekiyama Konomu |
128|Venus |God |||Light ||5 Stars |15|5000|Yosuke Adachi |
129|Love Deity Venus |God |||Light |Light |6 Stars |20|5000|Yosuke Adachi |
130|Hades |God |||Dark ||5 Stars |15|5000|Itou Youichi |
131|Underlord Hades |God |||Dark |Dark |6 Stars |20|5000|Itou Youichi |
132|Kagutsuchi |God |||Fire ||5 Stars |15|5000|Murase Rintaro |
133|Hino Kagutsuchi |God |||Fire |Fire |6 Stars |20|5000|Murase Rintaro |
134|Viper Orochi |God |||Water ||5 Stars |15|5000|Itou Youichi |
135|Demon Viper Orochi |God |||Water |Water |6 Stars |20|5000|Itou Youichi |
136|Susano |God |||Wood ||5 Stars |15|5000|Itou Youichi |
137|Susano no Mikoto |God |||Wood |Wood |6 Stars |20|5000|Itou Youichi |
138|Amaterasu |God |||Light ||5 Stars |15|5000|Yosuke Adachi |
139|Amaterasu Ohkami |God |||Light |Light |6 Stars |20|5000|Yosuke Adachi |
140|Yomi |God |||Dark ||5 Stars |15|5000|Yosuke Adachi |
141|Tsuku Yomi |God |||Dark |Dark |6 Stars |20|5000|Yosuke Adachi |
142|Flamedragon Muspelheim |Dragon |||Fire ||6 Stars |25|10|Shinnosuke Hino |
143|Ice Dragon Niflheim |Dragon |||Water ||6 Stars |25|10|Yosuke Adachi |
144|Isle Dragon Yggdrasil |Dragon |||Wood ||6 Stars |25|10|Murase Rintaro |
145|Mechadragon Valhalla |Dragon |||Machine |Light |6 Stars |25|10|Sekiyama Konomu |
146|Evil Dragon Helheim |Dragon |||Dark ||6 Stars |25|10|Itou Youichi |
147|Keeper of Flame |Evo Material |||Fire ||4 Stars |11|1|Sekiyama Konomu |
148|Keeper of Water |Evo Material |||Water ||4 Stars |11|1|Sekiyama Konomu |
149|Keeper of Forest |Evo Material |||Wood ||4 Stars |11|1|Sekiyama Konomu |
150|Keeper of Light |Evo Material |||Light ||4 Stars |11|1|Sekiyama Konomu |
151|Keeper of Dark |Evo Material |||Dark ||4 Stars |11|1|Sekiyama Konomu |
152|Dragon Seed |Evo Material |||Wood ||2 Stars |1|1|Itou Youichi |
153|Dragon Plant |Evo Material |||Wood ||3 Stars |1|1|Itou Youichi |
154|Dragon Flower |Evo Material |||Wood ||4 Stars |1|1|Itou Youichi |
155|Rubylit |Evo Material |||Fire ||2 Stars |1|1|Suzuki Kaori |
156|Sapphilit |Evo Material |||Water ||2 Stars |1|1|Suzuki Kaori |
157|Emelit |Evo Material |||Wood ||2 Stars |1|1|Suzuki Kaori |
