Generated 10-29-2016: 7:30PM (Run time: 4H:30M)

1 |Total Attributes:  8 |Tyrra ||Dragon |Fire |2 Stars |2 |1 |Shinnosuke Hino |
2 |Total Attributes:  8 |Tyran ||Dragon |Fire |3 Stars |4 |1 |Shinnosuke Hino |
3 |Total Attributes:  8 |Tyrannos ||Dragon |Fire |4 Stars |6 |1 |Shinnosuke Hino |
4 |Total Attributes:  8 |Firedragon Tyrannos ||Dragon |Fire |5 Stars |10 |1 |Shinnosuke Hino |
5 |Total Attributes:  8 |Plessie ||Dragon |Water |2 Stars |2 |1 |Yosuke Adachi |
6 |Total Attributes:  8 |Plesiel ||Dragon |Water |3 Stars |4 |1 |Yosuke Adachi |
7 |Total Attributes:  8 |Plesios ||Dragon |Water |4 Stars |6 |1 |Yosuke Adachi |
8 |Total Attributes:  8 |Icedragon Plesios ||Dragon |Water |5 Stars |10 |1 |Yosuke Adachi |
9 |Total Attributes:  8 |Brachy ||Dragon |Wood |2 Stars |2 |1 |Itou Youichi |
10 |Total Attributes:  8 |Brachio ||Dragon |Wood |3 Stars |4 |1 |Itou Youichi |
11 |Total Attributes:  8 |Brachys ||Dragon |Wood |4 Stars |6 |1 |Itou Youichi |
12 |Total Attributes:  8 |Flowerdragon Brachys ||Dragon |Wood |5 Stars |10 |1 |Itou Youichi |
13 |Total Attributes:  8 |Pterra ||Dragon |Light |2 Stars |2 |1 |Itou Youichi |
14 |Total Attributes:  8 |Pteras ||Dragon |Light |3 Stars |4 |1 |Itou Youichi |
15 |Total Attributes:  8 |Pterados ||Dragon |Light |4 Stars |6 |1 |Itou Youichi |
16 |Total Attributes:  8 |Sundragon Pterados ||Dragon |Light |5 Stars |10 |1 |Itou Youichi |
17 |Total Attributes:  8 |Spinon ||Dragon |Dark |2 Stars |2 |1 |Murase Rintaro |
18 |Total Attributes:  8 |Spinas ||Dragon |Dark |3 Stars |4 |1 |Murase Rintaro |
19 |Total Attributes:  8 |D'spinas ||Dragon |Dark |4 Stars |6 |1 |Murase Rintaro |
20 |Total Attributes:  8 |Moondragon D'spinas ||Dragon |Dark |5 Stars |10 |1 |Murase Rintaro |
21 |Total Attributes:  8 |Lil' Red Dragon ||Dragon |Fire |2 Stars |2 |1 |Yosuke Adachi |
22 |Total Attributes:  8 |Red Dragon ||Dragon |Fire |3 Stars |5 |1 |Yosuke Adachi |
23 |Total Attributes:  8 |Volcano Dragon ||Dragon |Fire |4 Stars |11 |1 |Yosuke Adachi |
24 |Total Attributes:  8 |Lil' Blue Dragon ||Dragon |Water |2 Stars |2 |1 |Yosuke Adachi |
25 |Total Attributes:  8 |Blue Dragon ||Dragon |Water |3 Stars |5 |1 |Yosuke Adachi |
26 |Total Attributes:  8 |Aurora Dragon ||Dragon |Water |4 Stars |11 |1 |Yosuke Adachi |
27 |Total Attributes:  8 |Lil' Green Dragon ||Dragon |Wood |2 Stars |2 |1 |Shinnosuke Hino |
28 |Total Attributes:  8 |Green Dragon ||Dragon |Wood |3 Stars |5 |1 |Shinnosuke Hino |
29 |Total Attributes:  8 |Earth Dragon ||Dragon |Wood |4 Stars |11 |1 |Shinnosuke Hino |
30 |Total Attributes:  8 |Lil' White Dragon ||Dragon |Light |2 Stars |2 |1 |Sekiyama Konomu |
31 |Total Attributes:  8 |White Dragon ||Dragon |Light |3 Stars |5 |1 |Sekiyama Konomu |
32 |Total Attributes:  8 |Holy Dragon ||Dragon |Light |4 Stars |11 |1 |Sekiyama Konomu |
33 |Total Attributes:  8 |Lil' Black Dragon ||Dragon |Dark |2 Stars |2 |1 |Itou Youichi |
34 |Total Attributes:  8 |Black Dragon ||Dragon |Dark |3 Stars |5 |1 |Itou Youichi |
35 |Total Attributes:  8 |Devil Dragon ||Dragon |Dark |4 Stars |11 |1 |Itou Youichi |
36 |Total Attributes:  8 |Flamie ||Balanced |Fire |1 Star |1 |1 |Itou Youichi |
37 |Total Attributes:  8 |Big Flamie ||Balanced |Fire |2 Stars |3 |1 |Itou Youichi |
38 |Total Attributes:  8 |Bubblie ||Balanced |Water |1 Star |1 |1 |Itou Youichi |
39 |Total Attributes:  8 |Big Bubblie ||Balanced |Water |2 Stars |3 |1 |Itou Youichi |
40 |Total Attributes:  8 |Woodsie ||Balanced |Wood |1 Star |1 |1 |Itou Youichi |
41 |Total Attributes:  8 |Big Woodsie ||Balanced |Wood |2 Stars |3 |1 |Itou Youichi |
42 |Total Attributes:  8 |Shynee ||Balanced |Light |1 Star |1 |1 |Itou Youichi |
43 |Total Attributes:  8 |Big Shynee ||Balanced |Light |2 Stars |3 |1 |Itou Youichi |
44 |Total Attributes:  8 |Baddie ||Balanced |Dark |1 Star |1 |1 |Itou Youichi |
45 |Total Attributes:  8 |Big Baddie ||Balanced |Dark |2 Stars |3 |1 |Itou Youichi |
46 |Total Attributes:  8 |Red Carbuncle ||Healer |Fire |1 Star |2 |1 |Suzuki Kaori |
47 |Total Attributes:  8 |Ruby Carbuncle ||Healer |Fire |2 Stars |5 |1 |Suzuki Kaori |
48 |Total Attributes:  8 |Blue Carbuncle ||Healer |Water |1 Star |2 |1 |Suzuki Kaori |
49 |Total Attributes:  8 |Sapphire Carbuncle ||Healer |Water |2 Stars |5 |1 |Suzuki Kaori |
50 |Total Attributes:  8 |Green Carbuncle ||Healer |Wood |1 Star |2 |1 |Suzuki Kaori |
51 |Total Attributes:  8 |Emerald Carbuncle ||Healer |Wood |2 Stars |5 |1 |Suzuki Kaori |
52 |Total Attributes:  8 |Yellow Carbuncle ||Healer |Light |1 Star |2 |1 |Suzuki Kaori |
53 |Total Attributes:  8 |Topaz Carbuncle ||Healer |Light |2 Stars |5 |1 |Suzuki Kaori |
54 |Total Attributes:  8 |Purple Carbuncle ||Healer |Dark |1 Star |2 |1 |Suzuki Kaori |
55 |Total Attributes:  8 |Amethyst Carbuncle ||Healer |Dark |2 Stars |5 |1 |Suzuki Kaori |
56 |Total Attributes:  8 |Red Goblin ||Attacker |Fire |1 Star |2 |1 |Shinnosuke Hino |
57 |Total Attributes:  8 |Samurai Goblin ||Attacker |Fire |2 Stars |5 |1 |Shinnosuke Hino |
58 |Total Attributes:  8 |Blue Goblin ||Attacker |Water |1 Star |2 |1 |Shinnosuke Hino |
59 |Total Attributes:  8 |Marine Goblin ||Attacker |Water |2 Stars |5 |1 |Shinnosuke Hino |
60 |Total Attributes:  8 |Goblin ||Attacker |Wood |1 Star |2 |1 |Shinnosuke Hino |
61 |Total Attributes:  8 |Hobgoblin ||Attacker |Wood |2 Stars |5 |1 |Shinnosuke Hino |
62 |Total Attributes:  8 |Red Ogre ||Physical |Fire |2 Stars |4 |1 |Shinnosuke Hino |
63 |Total Attributes:  8 |Samurai Ogre ||Physical |Fire |3 Stars |7 |1 |Shinnosuke Hino |
64 |Total Attributes:  8 |Blue Ogre ||Physical |Water |2 Stars |4 |1 |Shinnosuke Hino |
65 |Total Attributes:  8 |Ice Ogre ||Physical |Water |3 Stars |7 |1 |Shinnosuke Hino |
66 |Total Attributes:  8 |Ogre ||Physical |Wood |2 Stars |4 |1 |Shinnosuke Hino |
67 |Total Attributes:  8 |Armor Ogre ||Physical |Wood |3 Stars |7 |1 |Shinnosuke Hino |
68 |Total Attributes:  8 |Flame Fighter ||Balanced |Fire |2 Stars |3 |1 |Itou Youichi |
